Client,Source,Date,Review,Positive Category,Positive Subcategory,Negative Category,Negative Subcategory
MOLLY MAID,Yelp,"Feb 3, 2022","I'm editing the review in response to the owner's comment.  1. The original price was a system-generated number by the website. I made a reservation for a free estimate online but it ended up being a one-time clean reservation. I texted with the office to get it corrected.  2. Like I said, Claudia did not provide me a written quote of the price. She only said that the one-time cleaning will be hourly based with a team of two people at $125/h. Unfortunately I did not record our conversation so I don't have the proof.  3. I asked the management to limit the work to two hours after being notified that the rate was changed to $155/h. This is *after* the two ladies arrived and started working. As a matter of fact, Claudia and the management kept pushing me to accept the rate of $235+ for three-person cleaning. They put clients at a very tough position to refuse (the third lady was waiting outside, along with a fourth lady who was the driver).  4. I do not feel like this is the honest way of doing business. If the hourly charge is impacted by the number of people in the team, then the business should *NOT* change the number of people after the work has started and shovel the new rate down clients' throats.------------------------------------------------This is a copy of the email that I sent to the estimator with slight changes to improve readability as a review. 1. During our free estimate, Claudia informed me that one-time clean is always hourly based and the hourly rate is $125 for a team of two. She said that the job will take roughly 2.5 hours to 3 hours. She also informed me that regular cleaning will be $285 flat fee every time. I said I will consider after the initial clean. No formal written quote was provided -- which I regret deeply now given how the situation has changed. 2. The scheduled cleaning is in the afternoon. Two ladies showed up at 2 pm today after I called the office twice (once at 12:40 pm and was told that team will arrive in a hour or so, and once at 1:44 pm when no one showed up and the office had no idea where the team was). 3. Two more ladies showed up and I got confused. I then got on the phone with Claudia for a pronged conversation. She changed the quote to $155 per hour for a team of two and told me that Molly Maid never offers any flat fee arrangement. She also insisted on a team of three working at the house, which will lead to $230+ an hour. 4. I refused to have the team of three here as this is not what I agreed to or expected. I also requested the ladies to wrap up by two hours. I wore the email to her at the 1 hour and 20 min mark. So far the two ladies only finished one bathroom (working the second and barely starting the third one). 5. During the call she also mentioned that the ladies have another house to clean after mine. Again, I'd like to state that it's not my job to schedule the crew properly. Although it's a four hour window (12-4pm) for the team to show up, you can not expect them to show up at three and finish within an hour. Again, the ladies showed up at 2pm (I have footage with time stamp to show that). If they have another task after four, it's not on me to ensure that they have a manageable workload. 6. I chose Molly Maid because your service is assumed to be puncture and safe. It appears that the management has not done its job right.",,,professionalism/service;efficiency/speed;trustworthiness,poor communication;lack of responsiveness;slow service;unprofessional behavior;dishonesty
MOLLY MAID,Yelp,"January 17, 2022","Thank you Team #4: Blanca, Darrell, and Alva!You did a superb job on an uninhabitable living space!I didn't believe that there was hope and then you ladies came and save the day!...and Yes, I will be calling on your team again!See you soon!",quality of cleaning;professionalism/service,thoroughness;cleanliness;friendliness;customer service,,
MOLLY MAID,Yelp,"Jan 5, 2022","Molly Maid has now cleaned my home twice.  While there was one forgotten item on the initial clean (cleaning outside of kitchen cabinets) they did on second clean.  Three women came and they were in and out in an hour.  Great job, nice women. Professional.",professionalism/service;efficiency/speed,friendliness;quick service;professional,quality of cleaning,missed spots
MaidPro,Google,4 months ago,"What a difference Jessica made! Now we super-sparkle and shine.
I was concerned that a single cleaner would not be able to handle our large home and should not have been. MaidPro always provides tip top cleaning and today was no different.
Also, BIG thanks for being so considerate while I was stuck working in our home office.
Applause on all fronts.",quality of cleaning;professionalism/service,spotless results;friendliness,,
MaidPro,Google,5 months ago,Ashley and Jennifer did a FANTASTIC JOB helping us with unboxing and organizing all of our belongings from our recent move. They took a task that seemed almost impossible and made it a reality! They made a great team!,specific tasks;professionalism/service,organization;friendliness,,
MaidPro,Google,5 months ago,"Super happy with MaidPro Marina Del Rey! I had them do a deep clean before some family came to visit, and my house has never looked better. The team was friendly and efficient, and I loved the extra touches like wiping down the light switches. Totally using them again!",quality of cleaning;professionalism/service;efficiency/speed,deep cleaning;friendliness;efficient work;attention to detail,,
MaidPro,Google,5 months ago,"MaidPro came to my apartment last week, and I was amazed at how thorough the cleaning was. They didn't miss a single spot! My bathroom sparkled like never before, and even the tricky spots in the kitchen were spotless. Definitely recommending them to anyone looking for reliable cleaning services.",quality of cleaning;professionalism/service,thoroughness;spotless results;reliability,,
MaidPro,Google,9 months ago,Thank you Jessica!!! Very thoroughly and friendly!!!!!! 😃 …,quality of cleaning;professionalism/service,thoroughness;friendliness,,
MaidPro,Google,9 months ago,Completely professional cleaners that work with everyone's schedule. My pro Jessica was especially helpful with eaning tips!! Very easy to get your place cleaned with people you can trust!,professionalism/service;trustworthiness,friendliness;customer service;favorite worker,,
MaidPro,Google,9 months ago,Anastasia did a very good job getting our condo ready for new tenants.,quality of cleaning,thoroughness,,
MaidPro,Google,11 months ago,Had a great cleaning service with Myra and Jessica from Maidpro. Our home was in great condition and very happy with the outcome. Thank you!,quality of cleaning;professionalism/service,cleanliness;thoroughness;friendliness;customer service,,
MaidPro,Google,a year ago,"MaidPro was a little out of my area, but they had been highly recommended to me, so after losing my previous cleaning company (they decreased their service area due to inflation). I tried several different services with very mixed results before calling MaidPro, and they said they would be willing to come to Sherman Oaks. The cleaner they sent over was Jessica and she did an amazing job. Better, in fact, than the other services who had 2 cleaners at a time. We hired MaidPro and Jessica for 2x  monthly cleanings and have been very happy, especially with her cleaning of the kitchen and bathrooms. FIVE STARS, HIGHLY RECOMMENDED.",quality of cleaning;professionalism/service,thoroughness;cleanliness;friendliness;customer service,,
MaidPro,Google,a year ago,"Ana did an excellent job on my daughter's apt, highly recommend.",quality of cleaning,thoroughness,,
MaidPro,Google,2 years ago,"I love MaidPro! Had such a good experience with them and have been using their cleaners for two years - they even agreed to service my new apartment when I moved. They are responsible, always on time, and reply to emails quickly. My apartment is always spotless once they leave and I’ve never had any issues with a cleaner. Professional and personal!",quality of cleaning;professionalism/service;efficiency/speed,spotless results;friendliness;responsiveness;punctuality,,
MaidPro,Google,2 years ago,"MaidPro is consistently excellent. Nanci, our regular housekeeper, is thorough and meticulous. Plus the customer support is very responsive and helpful. No complaints!",quality of cleaning;professionalism/service,thoroughness;responsiveness,,
Merry Maids,Yelp,"Jun 13, 2022","I used Merry Maids for more than a year after I first moved to Arizona.  I found their hourly rate, $60 per maid, extreme.  Cleaning was adequate.  People doing the scheduling would screw things up and I would randomly end up with 'new' cleaners which is completely annoying.  Final straw, they raised their rate to $80 per hour. That is ridiculous.  Particularly after finding out MM only pay their maids approx $9-$15 per hour.  What the heck was the basis for the %20+ rate increase????   MM is ripping off the maids with that low wage and customers with an unwarranted, completely off the rails charge per hour.  I hope they lose a lot of customers due to the price increase.",,,value/price;professionalism/service,overpriced;poor communication
Merry Maids,Yelp,"May 27, 2022","I was very satisfied with Merry Maids in the past. They recently sent two very inexperienced cleaners to my home. After paying over $500 for the service I had to redo most of what they did when they left. They did not clean the kitchen sink or wash the kitchen floor, the did not clean the bathroom countertop or the mirror, they did not lift the lamps to clean underneath them. There was dust under the entertainment center as well as around the table legs. When I asked for a refund they offered to send someone back. I needed the cleaning done within a certain time-frame and could not have them come back. I got a $100 refund. I believe I should have gotten back half of what I paid. If I could give them no stars I would.",,,quality of cleaning;professionalism/service;efficiency/speed;value/price,inconsistent cleaning;poor attention to detail;unprofessional behavior;poor communication;slow service;overpriced
Merry Maids,Yelp,"Mar 26, 2022","Horrible service. My house is being put on the market today and I had them clean my house yesterday. It wasn't vacuumed, dry wall dust on base boards, white stuff dripping in the oven, long hair in the kitchen sink. I could go on and on. I paid over $400 for this and basically spent half a day cleaning up after them.",,,quality of cleaning;value/price,missed spots;poor attention to detail;overpriced
Merry Maids,Yelp,"Mar 9, 2022","I wanted the cupboards cleaned of grease, and under them as well. Big mistake, as I used them to clean a duplex 2 years ago and did a good job. The people on the phone a rude, and the first girl that came used a floor cleaner that was brown and sprayed it all over the place, she missed some real greasy spots, got the spray running down the fridge, inside the cupboards, and on the floor. She was on her cell phone the whole hour she was here. So had 2 other people come to fix the problems, and they did a good job. I will never get this company to do anything for me again!",quality of cleaning,thoroughness,professionalism/service;quality of cleaning,poor attention to detail;unprofessional behavior;missed spots
Merry Maids,Yelp,"Dec 11, 2021","I was very satisfied with the woman who came and worked on my condominium.  The job was supposed to be deep cleaning, preparing the condominium for rental. She worked hard for three hours but it took me another four hours to complete it today. Our tenant left it a mess and it warranted more time.  I paid $315 for three hours of work and I was told by Merry Maids that I would not have to worry about it because everything would be completed.  It was not the employee's fault because she needed more time or another person to assist her....more time that she did not have. Merry Maids should have sent two people to work on this job.  They knew it was going to be a big job because I told them in detail what needed to be done.  I will not recommend Merry Maids to my friends nor will I ever use it again. I am curious to know how much they paid the employee to clean my condominium and how much they collected for themselves....",quality of cleaning,deep cleaning,professionalism/service;efficiency/speed;value/price,poor communication;slow service;overpriced
Merry Maids,Yelp,"Dec 2, 2021","The cleaning was expensive and just ok.  The staff, all of whom seemed very nice, have too many homes in a single day for them to be able to do a good job.  However there were 2 issues that were very unacceptable.  1) I told the cleaning person to not use water on my wood floors -- and handed her a can of Endust and a dust mop.  She mixed the Endust with water and washed the floors with the dust mop. 2) Two items were broken (a candlestick and a picture frame).  Accidents happen and it would have been ok if I had been told.  Instead the 'deeds' were hidden.  I found the candle from the candlestick in a hiding spot (I'm giving the person the benefit of the doubt that it was broken and cleaned up rather than stolen).  I found the picture frame in pieces with the pieces carefully stuck together around the picture so I wouldn't notice.  I called the company simply to tell them that they need to train their employees to admit when there's an accident.  Their response was to deny that their employees were responsible in any way.  I will not be using Merry Maids again.",professionalism/service,friendliness,value/price;quality of cleaning;specific issues;professionalism/service,overpriced;poor attention to detail;damage to items;unprofessional behavior
Merry Maids,Yelp,"Nov 17, 2021","Right now as of today 11/17/2021 I would give the a 2 star rating.  I was suppose to have a deep clean service done today and that is not what I got.  I'm very disappointed,  I spoke with someone in the office and they are going to try and rectify this matter. My bathroom was left untouched completely,  my blinds weren't touched,  floorboards and corners of tiled floor were left with dirt.  Very very disappointing.  I used Merry Maids about 16 yrs ago and was very satisfied.  I've had a cleaning lady since then who has left us as she moved out of state,  so I am a returning customer and like I have said I am very disappointed.  I hope Merry Maids will rectify asap.",,,quality of cleaning;professionalism/service,inconsistent cleaning;poor attention to detail;unprofessional behavior
Merry Maids,Yelp,"Nov 5, 2021","Over 20 years of cleaning service with Merry Maids they've always provided excellent service, professional, safety during the pandemic.  The cleaners were alway nice and friendly.  Although, the most recent management  in the past 3 weeks have notably unprofessional over the phone by implying I didn't pay the correct amount $125 (raise in cost $165 2bed 2bath) which I was never given a 30 day written notification of a price increase. In the past I've always been give a 30 day written notification and during difficult times the past manager was always accommodating to the certain situations.They've called several times in 1 week at odd hours and telling me I need to pay them the price increase and were very unprofessional and rude.  I mentioned to send me a written letter and provided me with the price increase.  As of today they've terminated my services without any written notification via text message.**this is unacceptable**unprofessional in running a business**very rude over the phone**as far as customer services.  However, the cleaners are excellent professional, kind and just trying to make a decent living.  The management is another story...",professionalism/service,friendliness;customer service,professionalism/service;trustworthiness,unprofessional behavior;poor communication;lack of responsiveness;dishonesty
Merry Maids,Yelp,"Jul 12, 2021","Merry Maids was hired to clean my townhome upon move out.  They were hired to have 2 girls, for 2 hours at $130/hour for a total of $260 to only vacuum the carpeted floors, clean the wood floors, clean the kitchen & 3 bathrooms.  They failed to clean the ENTIRE 1st FLOOR.  I would NEVER recommend them to anyone.",,,quality of cleaning;professionalism/service,inconsistent cleaning;poor attention to detail;unprofessional behavior
Merry Maids,Yelp,"Jul 8, 2021",i.am a.first time client claudia came asap to help. she was so so promt professionaland even when i got a little emotional about this situation.she calmed me down.and explained how there service works .the ladies arrived went right to work and i was in tears when they left .they did my daughters room.my hallway my restroom my kitchen .merry maids thank you for your hard work your positive attitude and for being here for me,professionalism/service;quality of cleaning,friendliness;communication;thoroughness;cleanliness,,
Merry Maids,Google,a week ago,It was wonderful walking into a sparkly clean home.  Thank you so much!,quality of cleaning,spotless results,,
Merry Maids,Google,a month ago,Great work. Very happy with service quality. Highly recommended 👌 …,quality of cleaning,cleanliness,,
Merry Maids,Google,2 months ago,Lizbeth and Diana were efficient and super helpful in helping me keep my place clean and tidy with my five year old. I really appreciate the little touches they did during cleaning such as fluffing and organizing the couch blankets and …,efficiency/speed;quality of cleaning;specific tasks,efficient work;attention to detail;organization,,
Merry Maids,Google,2 months ago,"cheerful, professional and do a thorough cleaning.
thanks!",quality of cleaning;professionalism/service,thoroughness;friendliness,,
Merry Maids,Google,4 months ago,Luz did a thorough and quick job cleaning my 2 bedroom home and even left small personal touches (eg setting up my stuffed animals on my bed and couch) that made everything feel like home,quality of cleaning;efficiency/speed,thoroughness;quick service,,
Merry Maids,Google,4 months ago,"Luz of Merry maids was very professional, efficient, respectful and did an outstanding job.",professionalism/service;efficiency/speed;quality of cleaning,professionalism;efficient work;thoroughness,,
Merry Maids,Google,4 months ago,"I have used their service twice now, monthly, and I’m very pleased! My house doesn’t get very dirty, but the deep cleaning always feels overwhelming after a while. It’s really nice to come home to a sparkling clean house after working all day.",quality of cleaning;specific tasks,spotless results;deep cleaning,,
Merry Maids,Google,5 months ago,"The ladies that work for Merry Maids are really good at what they do. They did such a wonderful job on my house, they work great together as a team and wasted no time in getting the job done in a timely fashion. Thanks again Merry Maids.",quality of cleaning;efficiency/speed,thoroughness;quick service;punctuality,,
Merry Maids,Google,5 months ago,"Merry Maids is a good cleaning service. I have used them twice, and have been satisfied with their work. I will say that the cleaning is not intensive, and so if you have high standards for the cleanliness of your home (corners, crevices, …",quality of cleaning,cleanliness,quality of cleaning,poor attention to detail
Merry Maids,Google,7 months ago,"Margarita and Otilia cleaned our house beautifully today. They are friendly and efficient. We always enjoy greeting them at the door, and it is a treat to come into our tidy house after they have cleaned it. Thank you, Margarita and Otilia!.",quality of cleaning;professionalism/service;efficiency/speed,cleanliness;friendliness;efficient work,,
Merry Maids,Google,7 months ago,I think the service is pretty convenient. But it’s pretty overpriced given that they didn’t pull my stove/oven and fridge and clean the areas under them. Now my apartment is going to charge me again for clean those areas. They can do a better job given that they charge so much!,professionalism/service,convenience,value/price;quality of cleaning,overpriced;missed spots
Merry Maids,Google,8 months ago,"Elvira and Susy always do a great job! They are on time, work quickly and efficiently! The house looks great and smells fresh!",quality of cleaning;efficiency/speed,cleanliness;quick service;efficient work,,
Merry Maids,Google,9 months ago,Merry Maids continues to provide the finest professional cleaning service. They are reliable and trustworthy.,professionalism/service;trustworthiness,reliability;honesty,,
Merry Maids,Google,10 months ago,"Friendly, great service, on time and efficient.",professionalism/service;efficiency/speed,friendliness;punctuality;efficient work,,
Merry Maids,Google,10 months ago,"It's wonderful to come home to a clean house. Asminda and Margarita are very thorough, professional, and friendly. I highly recommend Merry Maids!",quality of cleaning;professionalism/service,thoroughness;friendliness,,
Merry Maids,Google,11 months ago,Esbeydi and Elvira did a great job cleaning my house.,quality of cleaning,thoroughness;cleanliness,,
Merry Maids,Google,11 months ago,Lizabeth and Diana have been professional and thorough. I feel happy to have them regularly clean my place.,professionalism/service;quality of cleaning,friendliness;thoroughness,,
Merry Maids,Google,11 months ago,"Merry Maids of Mt View, CA   Outstanding work by E/viro.  excellent cleaning person  she has cleaned my home for many years",quality of cleaning;professionalism/service,thoroughness;friendliness,,
Merry Maids,Google,11 months ago,Elvira is the best! She we works hard and does a great job! She is also very kind and friendly. I’m always happy to see her…my favorite!!!,professionalism/service,friendliness,,
Merry Maids,Google,11 months ago,They went above and beyond. We love how they attend to any details we ask.,quality of cleaning;professionalism/service,attention to detail;customer service,,
Merry Maids,Google,11 months ago,"I have been a customer of Merry Maids for 9 years. They are excellent. Their teams are professional, consistent, conscientious and very hard working. A special thank you to Asminda and Natalia for their efforts and cheerfulness every single …",professionalism/service;quality of cleaning,friendliness;responsiveness;cleanliness;attention to detail,,
Merry Maids,Google,11 months ago,"Professional and reliable staff, no worries about items being stolen, broken, etc. Reliable service too. …",professionalism/service;trustworthiness,reliability;honesty,,
Merry Maids,Google,11 months ago,"Margarita and Otelia did a fabulous job cleaning my house. It hadn’t been dusted thoroughly in months.  They were thorough, efficient, careful, and cheerful. I hope Merry Maids sends this team to me again!",quality of cleaning;efficiency/speed;professionalism/service,thoroughness;efficient work;friendliness,,
Merry Maids,Google,a year ago,"Elvira is fantastic, always arrives on time, with a smile and make sure our office is sparkling clean!!!",professionalism/service;efficiency/speed;quality of cleaning,friendliness;punctuality;spotless results,,
Merry Maids,Google,a year ago,"Lizbeth and Diana were very professional and courteous. They did an amassing job at cleaning my townhome. They were on time, and very detailed at cleaning everything I requested. To make it even better, a supervisor from Merry Maids came in …",professionalism/service;quality of cleaning;efficiency/speed,friendliness;thoroughness;punctuality;attention to detail,,
Merry Maids,Google,a year ago,"I am writing a third review because I have been using this Merry Maids team for my home for over 30 years.  The service has been consistently excellent, the Merry Maids crew is fantastic, friendly and professional and I love how my house sparkles when they are  Josefina and her crew are truly the best.",quality of cleaning;professionalism/service,cleanliness;friendliness;professionalism;spotless results,,
Merry Maids,Google,a year ago,The Merry Maids who clean my home are hardworking and thorough. They leave my place clean and fresh after each visit. I have been a client for many years.,quality of cleaning;professionalism/service,thoroughness;cleanliness;customer service,,
Merry Maids,Google,a year ago,"Excellent service. Professional, thorough, timely.",professionalism/service;quality of cleaning;efficiency/speed,friendliness;thoroughness;punctuality,,
Merry Maids,Google,a year ago,Our Merry Maids team always does an outstanding job.  They pay attention to detail and the house always looks great after they are here!  I would highly recommend them!,quality of cleaning;professionalism/service,attention to detail;cleanliness;friendliness,,
Merry Maids,Google,a year ago,"My team is reliable and friendly and always show up early and do a good job, even though  sometimes I’m not perfect about being ready for them, they never complain. This week they even did an extra good job, it’s like they knew it was my birthday!",professionalism/service;efficiency/speed;quality of cleaning,friendliness;punctuality;good value for money;thoroughness,,
Merry Maids,Google,a year ago,Amazing customer service to set up an appointment. Elvira was also so quick and thorough with the cleaning. Would definitely hire them again.,professionalism/service;efficiency/speed;quality of cleaning,customer service;quick service;thoroughness,,
Merry Maids,Google,a year ago,Great experience with Merry Maids — they’re very professional and do a fantastic job. Esbeydi and Susy are awesome!,professionalism/service;quality of cleaning,friendliness;customer service;thoroughness,,
Merry Maids,Google,a year ago,"From start to finish, Lizbeth and Natalia were absolutely amazing. My apartment hasn't been this clean since the day I moved in. I truly appreciate their efficiency and thoroughness. I'm extremely satisfied with the service, and I will definitely be a repeat customer of Merry Maids of Mountain View.",quality of cleaning;efficiency/speed,thoroughness;quick service,,
Merry Maids,Google,a year ago,"Elvira and her teammate were delightful. They did a fabulous job deep cleaning my house and allowed me to put my house back together after construction. They were both friendly, polite, and hard working. I really appreciated that detail they took when cleaning. Thank you!",quality of cleaning;professionalism/service,deep cleaning;friendliness;attention to detail,,
Merry Maids,Google,a year ago,"Esbeydi & Susy were wonderful. Timely, thorough, and very friendly. They worked so quickly I didn’t even realize they had finished and left. …",quality of cleaning;professionalism/service;efficiency/speed,thoroughness;friendliness;quick service,,
Merry Maids,Google,a year ago,"I wanted to express my sincere appreciation for the exceptional cleaning service your team provided. Our space looks immaculate, and your attention to detail has not gone unnoticed. Thank you for your hard work and commitment to excellence.",quality of cleaning;professionalism/service,attention to detail;cleanliness,,
Merry Maids,Google,a year ago,My house was a wreck!  Merry Maids worked a miracle!,quality of cleaning,thoroughness;spotless results,,
Merry Maids,Google,a year ago,"Cleaners were great. They were really nice and professional, they did a good job, and worked fast. No problems with their work. My only complaint was they arrived over an hour earlier than we expected them and we were still making lunch. We …",professionalism/service;efficiency/speed,friendliness;quick service;punctuality,efficiency/speed,late arrival
Merry Maids,Google,a year ago,"All of the above, plus our team, Sandra & Andrea, always do an excellent job and are a pleasure to visit with, too.",quality of cleaning;professionalism/service,thoroughness;friendliness,,
Merry Maids,Google,a year ago,"After moving in about 2 months ago we were finally ready to have our home deep cleaned. Lizbeth and Natalia were great! They were friendly, conscientious about keeping doors closed to prevent the cat from getting out, and cleaned everything …",quality of cleaning;professionalism/service,deep cleaning;friendliness;attention to detail,,
Merry Maids,Google,a year ago,Esbeydi and Susy do a fantastic job - appreciate all their hard work!!,quality of cleaning;professionalism/service,thoroughness;friendliness,,
Merry Maids,Google,a year ago,"Quick to respond, great service, competitive pricing.",professionalism/service;value/price,responsiveness;customer service;reasonable pricing;good value for money,,
Merry Maids,Google,a year ago,We have been using Merry Maids for a few months and are very happy with their service. Lizbeth and Natalia are very detailed and have always met our needs. They arrive on time and are friendly and efficient. highly recommend them.,quality of cleaning;professionalism/service;efficiency/speed,detailed cleaning;friendliness;punctuality;efficient work,,
Merry Maids,Google,a year ago,Overall clean but I did pay more and they said they would clean the drawers. I found that some of the bathroom drawers were still dirty. I wanted a full move in clean before I moved in.,quality of cleaning,cleanliness,value/price;quality of cleaning,overpriced;missed spots
Merry Maids,Google,a year ago,"The women who came were through , on time, did exactly what I asked and really worked hard! Well worth it !!",quality of cleaning;efficiency/speed,thoroughness;punctuality;quick service,,
Merry Maids,Google,a year ago,They are a well run business and do a great job. Esbeydi and Susy work fast and  they are very thorough and do little extras that are just nice. Like leave a note and fold the toilet paper like at hotels. It's just a nice touch,quality of cleaning;professionalism/service;efficiency/speed,thoroughness;friendliness;quick service,,
Merry Maids,Google,a year ago,"The house was clean, neat, and fresh-smelling when we came back from our walks after our team arrived and found Elvira and Maria had left us a green and white bouquet clipped from some of the trees and shrubs growing in our front yard. …",quality of cleaning;professionalism/service,cleanliness;attention to detail;friendliness,,
Merry Maids,Google,a year ago,Excellent job. They made the place look much better in limited time. Very professional and efficient.,quality of cleaning;professionalism/service;efficiency/speed,thoroughness;professionalism;efficient work;punctuality,,
Merry Maids,Google,a year ago,"Josefina and Izela always do a fabulous job keeping our home clean.  I'm always amazed at what they can accomplish. Grateful for the work they do, thank you!",quality of cleaning;professionalism/service,thoroughness;cleanliness;customer service,,
Merry Maids,Google,a year ago,Esbeydi and Susy were really professional and went above and beyond in cleaning our home!,professionalism/service,friendliness,,
Merry Maids,Google,a year ago,"I’ve used this Merry Maids location since 2010, and the teams always do an amazing job. I appreciate the very thorough cleaning, reasonable rates, reliable/professional service, and clear communication about arrival time. I highly recommend them.",quality of cleaning;professionalism/service;value/price,thoroughness;reasonable pricing;reliability;communication,,
Merry Maids,Google,a year ago,Great cleaning. Esbeydi and Sussy are highly professional and on time!,quality of cleaning;professionalism/service;efficiency/speed,cleanliness;professionalism;punctuality,,
Merry Maids,Google,a year ago,"I can't say enough good things about the incredible service provided by Esbeydi and Susy from Merry Maids. Their efficiency and speed are unmatched, completing the job in just one hour without compromising on the quality of their work. It's …",efficiency/speed;quality of cleaning,quick service;thoroughness,,
Merry Maids,Google,a year ago,Lizbeth and Natalya went above and beyond in getting our place cleaned today! Even cleaning up the windows which have needed it badly. They were accommodating to us with our toddler and super kind in providing us information about what they …,quality of cleaning;professionalism/service,thoroughness;cleanliness;friendliness,,
Merry Maids,Google,a year ago,I used this service as my regular cleaners and they also did a very deep cleaning when we moved out. They always left the space spotless and the girls are super friendly! Very responsive and always on time,quality of cleaning;professionalism/service;efficiency/speed,spotless results;friendliness;responsiveness;punctuality;deep cleaning,,
Merry Maids,Google,a year ago,MM cleaned bathroom shower stall & sink in less than an hour; punctual; thorough cleaning.,quality of cleaning;efficiency/speed,thoroughness;punctuality,,
The Cleaning Authority,Google,4 days ago,"Very reliable arrangements with cleaners showing up on time, all 3 times.

Only problem really is the $260.00 cost. The house is mostly vacant-– when living at my other house – and doesn't really get dirty.
I don’t cook.  Refrigerator and windows don’t get cleaned.  Two rooms are  not used except for storage.  All cleaners do is mop and vacuum and change one bed.
.. Wipe sinks.

It IS helpful to have service only every four weeks.  Its all that is needed.",professionalism/service,reliability;punctuality,value/price;quality of cleaning,overpriced;inconsistent cleaning
The Cleaning Authority,Google,2 weeks ago,The team from Cleaning Authority who cleaned our home yesterday did a very good job,quality of cleaning,thoroughness,,
The Cleaning Authority,Google,a month ago,The staff continue to go above and beyond!,,,,
The Cleaning Authority,Google,3 months ago,All great.,,,,
The Cleaning Authority,Google,3 months ago,"It is the first time of us using Cleaning Authority's service. It was amazing. I never had a cleaner house than right now, every corner and crevice. Hope they can keep the good work in the regular cleaning sessions.",quality of cleaning,thoroughness;attention to detail;cleanliness;spotless results,,
The Cleaning Authority,Google,3 months ago,Juliet and Monica did a great job. The floors were my main concern and they are shiny and beautiful now. Thank you.,quality of cleaning,cleanliness;spotless results,,
The Cleaning Authority,Google,4 months ago,"I’ve used them for a few months now. They are reliable, thorough and quick.  I like that they send a team of 2-3 which makes the time needed for cleaning minimal. They use a great rotation method in which a more thorough cleaning is done for certain areas. They leave documentation of what was done and what areas are next for the more thorough cleaning. Their communication is outstanding as they send reminders when cleaning is scheduled and another one when cleaning is completed. Nothing nicer than walking into a clean home.",quality of cleaning;professionalism/service;efficiency/speed,thoroughness;communication;quick service;cleanliness,,
The Cleaning Authority,Google,4 months ago,Great job again,,,,
The Cleaning Authority,Google,5 months ago,crew of four clean large house.,,,,
The Cleaning Authority,Google,5 months ago,"So far, so great! So far, we have had three or four cleanings by The Cleaning Authority. Great work every time, so far. Keep up the great work!",quality of cleaning;professionalism/service,thoroughness;cleanliness;customer service,,
The Cleaning Authority,Google,6 months ago,The workers from The Cleaning Authority did a great job on our house. It looked great.,quality of cleaning,cleanliness;spotless results,,
The Cleaning Authority,Google,9 months ago,They were great,,,,
The Cleaning Authority,Google,10 months ago,Please teach them what is the garbage can and what is thw recycle bin. I had to dig 9ut of recycle bin for the garbage bag.,,,specific issues,issues with specific areas of the house
The Cleaning Authority,Google,10 months ago,They showed up early and spent extra time on our initial cleaning.  We are incredibly satisfied and will continue with monthly service.,efficiency/speed;professionalism/service,punctuality;customer service,,
The Cleaning Authority,Google,10 months ago,"I have used the Cleaning Authority for years. The owners are very consistently nice and professional, and all the workers have been the same. The quality of the service is very very good. I always leave each worker a generous tip cause they work so hard. I trust them around my house. A plus +++",professionalism/service;quality of cleaning;trustworthiness,friendliness;customer service;thoroughness;reliability,,
The Cleaning Authority,Google,11 months ago,"Our cleaners went the extra mile this week. In addition to sparkling counter tops and floors, all of our beds were beautifully made, every hand towel and throw blanket was perfectly folded, and even our toilet paper had hotel folds. Thanks for making it extra special!",quality of cleaning;professionalism/service,attention to detail;cleanliness;friendliness,,
The Cleaning Authority,Google,a year ago,Did a great job.,,,,
The Cleaning Authority,Google,a year ago,Very thorough and dependable,quality of cleaning,thoroughness,,
The Cleaning Authority,Google,a year ago,"Latest review: The previous owner died and sold it to someone else. After that, things went downhill. They sent a new cleaning team each time, they rubbed the enamel off my toilet seat cover, scrubbed the numbers off my stovetop and scratched the stainless steel, made the bed so the sheets were totally long on one side and hardly covered the other side, bleached my new hand towel, dropped something like Comet on my rug and stained it, and left mysterious scratches on the tops of my dressers.
Old review: I have cleanings every other week. It's nice to have a dependable service that cleans well. I have a lot of dog hair around the house and it gets cleaned up. I'm pretty messy, and they do a good job. Today, they even folded my extra sheets and blanket in addition to changing my sheets that were on the bed.",quality of cleaning;professionalism/service,thoroughness;cleanliness;customer service,quality of cleaning;specific issues,damage to property
The Cleaning Authority,Google,a year ago,I’m pleased with the job Cleaning Authority does. A team of 3 get so much done in less than 2 hours.,efficiency/speed,quick service,,
The Cleaning Authority,Google,a year ago,I love having a clean place that doesn’t smell like chemicals! And my team is friendly and professional. They show up on time and do a fantastic job.,quality of cleaning;professionalism/service;efficiency/speed,cleanliness;friendliness;punctuality;thoroughness,,
The Cleaning Authority,Google,a year ago,TCA’s crew came today for the first of two initial deep clean appointments. I am blown away. What an amazing first impression! The whole house just sparkles.,quality of cleaning;specific tasks,spotless results;deep cleaning,,
The Cleaning Authority,Google,a year ago,Thanks to my crew! Always professional.,professionalism/service,friendliness,,
The Cleaning Authority,Google,a year ago,The girls were very nice and friendly and left the house sparkling!,professionalism/service;quality of cleaning,friendliness;spotless results,,
